@relation InstanceResultListener

@attribute Key_Dataset {data_agent,data_keyboard,raw_data_agent,raw_data_keyboard}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.functions.LinearRegression,weka.classifiers.trees.M5P}
@attribute Key_Scheme_options {'-S 0 -R 1.0E-8 -num-decimal-places 4','-M 4.0 -num-decimal-places 4'}
@attribute Key_Scheme_version_ID {-3364580862046573747,-6118439039768244417}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute Correlation_coefficient numeric
@attribute Number_unclassified numeric
@attribute Percent_unclassified numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureNumRules numeric

@data
data_agent,5,6,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20260322.1817,10598,1178,0.614006,3.185417,78.597572,96.197382,0.275005,0,0,?,?,?,?,?,?,0.034,0,0.03125,0,31.25,0,7974,1920335,215315,?,?,?,?
data_agent,5,7,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20260322.1817,10599,1177,0.637904,4.190109,82.286406,98.19075,0.189334,0,0,?,?,?,?,?,?,0.045,0.001,0.046875,0,46.875,0,7942,1920516,215134,?,?,?,?
data_agent,5,8,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20260322.1817,10599,1177,0.506498,1.013032,83.136128,83.531343,0.565853,0,0,?,?,?,?,?,?,0.04,0.001,0.046875,0,46.875,0,7958,1920516,215134,?,?,?,?
data_agent,5,9,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20260322.1817,10599,1177,0.54931,1.204635,89.260585,89.76014,0.462925,0,0,?,?,?,?,?,?,0.039,0,0.03125,0,31.25,0,7966,1920516,215134,?,?,?,?
data_agent,5,10,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20260322.1817,10599,1177,0.598878,3.102475,84.207009,97.020022,0.24291,0,0,?,?,?,?,?,?,0.036,0.001,0.046875,0,46.875,0,7974,1920516,215134,?,?,?,?
data_agent,6,1,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20260322.1817,10598,1178,0.669934,4.270012,85.548046,98.369745,0.179186,0,0,?,?,?,?,?,?,0.036,0.001,0.03125,0,31.25,0,7974,1920335,215315,?,?,?,?
data_agent,6,2,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20260322.1817,10598,1178,0.591751,3.064803,83.770322,97.464961,0.226402,0,0,?,?,?,?,?,?,0.043,0,0.03125,0,31.25,0,7958,1920335,215315,?,?,?,?
data_agent,6,3,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20260322.1817,10598,1178,0.58669,3.03623,83.705247,96.146426,0.275212,0,0,?,?,?,?,?,?,0.055,0,0.0625,0,62.5,0,7966,1920335,215315,?,?,?,?
data_agent,6,4,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20260322.1817,10598,1178,0.506675,0.988176,83.515959,79.955965,0.602568,0,0,?,?,?,?,?,?,0.043,0,0.03125,0,31.25,0,7974,1920335,215315,?,?,?,?
data_agent,6,5,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20260322.1817,10598,1178,0.570093,1.394733,81.444322,88.83341,0.462726,0,0,?,?,?,?,?,?,0.045,0.001,0.046875,0,46.875,0,7966,1920335,215315,?,?,?,?
data_agent,6,6,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20260322.1817,10598,1178,0.685319,4.221214,86.457371,97.923004,0.202967,0,0,?,?,?,?,?,?,0.051,0.001,0.046875,0,46.875,0,7950,1920335,215315,?,?,?,?
