@RELATION raw_data_agent

@ATTRIBUTE x_position NUMERIC
@ATTRIBUTE y_position NUMERIC
@ATTRIBUTE x_velocity NUMERIC
@ATTRIBUTE y_velocity NUMERIC
@ATTRIBUTE angle NUMERIC
@ATTRIBUTE angular_velocity NUMERIC
@ATTRIBUTE left_leg_contact NUMERIC
@ATTRIBUTE right_leg_contact NUMERIC
@ATTRIBUTE action {0,1,2,3}
@ATTRIBUTE next_reward NUMERIC

@DATA
-0.060116388,1.4220709,0.011271077,-0.027296389,-0.056658525,-0.021405403,0.0,0.0,0,-0.438981
-0.060014438,1.4213605,0.011271069,-0.031616483,-0.057728797,-0.021405388,0.0,0.0,0,-0.435623
-0.059912585,1.4205528,0.011271061,-0.035936583,-0.05879907,-0.021405367,0.0,0.0,0,-0.430409
-0.05981064,1.419648,0.011271053,-0.04025668,-0.05986935,-0.021405382,0.0,0.0,0,-0.423981
-0.059708785,1.4186461,0.011271044,-0.04457677,-0.060939614,-0.02140536,0.0,0.0,0,-0.416722
-0.05960684,1.4175469,0.011271035,-0.048896864,-0.06200989,-0.02140536,0.0,0.0,0,-0.408906
-0.05950489,1.4163506,0.011271027,-0.05321696,-0.063080154,-0.021405363,0.0,0.0,1,-0.082465
-0.05948906,1.4150603,0.00048253336,-0.057301473,-0.06198858,0.021831634,0.0,0.0,2,3.315874
-0.059239864,1.415087,0.02299177,0.0012691348,-0.06009029,0.03796599,0.0,0.0,1,1.050730
-0.059050847,1.4150214,0.015456001,-0.002778322,-0.056679383,0.06821822,0.0,0.0,1,1.167206
-0.05893774,1.4148586,0.0059347684,-0.0070492034,-0.051363748,0.10631281,0.0,0.0,3,-0.910544
-0.058732223,1.414585,0.01754128,-0.012052984,-0.048382707,0.05962043,0.0,0.0,0,0.064714
-0.058526613,1.4142145,0.017541226,-0.01637373,-0.04540168,0.05962039,0.0,0.0,0,0.032396
-0.058321096,1.4137468,0.017541174,-0.020694472,-0.04242067,0.05962035,0.0,0.0,0,0.012980
-0.05811558,1.4131821,0.017541122,-0.025015214,-0.039439645,0.05962029,0.0,0.0,0,0.002285
-0.057909966,1.4125204,0.017541077,-0.029335957,-0.036458645,0.05962025,0.0,0.0,0,-0.002550
-0.05770445,1.4117615,0.017541032,-0.0336567,-0.03347762,0.059620213,0.0,0.0,0,-0.003471
-0.057498835,1.4109056,0.017540995,-0.037977446,-0.030496607,0.05962017,0.0,0.0,0,-0.001680
-0.05729332,1.4099526,0.017540958,-0.04229819,-0.027515588,0.05962013,0.0,0.0,0,0.001995
-0.05708771,1.4089024,0.017540924,-0.046618935,-0.024534587,0.059620105,0.0,0.0,0,0.007021
-0.056882095,1.4077551,0.017540894,-0.05093968,-0.02155358,0.059620075,0.0,0.0,2,3.700124
-0.05681763,1.407395,0.004146778,-0.015976464,-0.01928417,0.04538815,0.0,0.0,3,-0.857265
-0.056665897,1.4069378,0.01509878,-0.020322794,-0.019207845,0.0015264528,0.0,0.0,0,-0.294632
-0.056514166,1.4063833,0.015098782,-0.024642792,-0.019131515,0.0015264745,0.0,0.0,0,-0.302814
-0.05636244,1.4057317,0.015098783,-0.028962791,-0.019055186,0.0015264759,0.0,0.0,0,-0.305463
-0.056210708,1.4049828,0.015098782,-0.03328279,-0.018978853,0.0015264804,0.0,0.0,0,-0.304570
-0.05605898,1.4041369,0.015098783,-0.03760279,-0.018902512,0.0015265015,0.0,0.0,0,-0.301308
-0.05590725,1.4031936,0.015098782,-0.041922793,-0.018826185,0.001526506,0.0,0.0,0,-0.296438
-0.05575552,1.402153,0.015098783,-0.0462428,-0.01874986,0.0015265185,0.0,0.0,0,-0.290454
-0.05560379,1.4010153,0.015098785,-0.050562806,-0.018673524,0.0015265165,0.0,0.0,2,3.240224
-0.055443,1.4008518,0.016020646,-0.007269552,-0.018617239,0.0011256351,0.0,0.0,0,-0.185714
-0.055282213,1.400591,0.016020644,-0.011589552,-0.018560948,0.0011256302,0.0,0.0,0,-0.238476
-0.05512142,1.4002331,0.016020644,-0.015909553,-0.01850466,0.0011256288,0.0,0.0,0,-0.270933
-0.05496063,1.3997779,0.016020644,-0.020229552,-0.018448384,0.0011256272,0.0,0.0,0,-0.289508
-0.054799844,1.3992256,0.016020644,-0.024549551,-0.018392092,0.0011256258,0.0,0.0,0,-0.299066
-0.054639053,1.398576,0.016020644,-0.02886955,-0.018335816,0.0011256238,0.0,0.0,0,-0.302816
-0.054478265,1.3978292,0.016020644,-0.03318955,-0.01827953,0.00112562,0.0,0.0,0,-0.302782
-0.054317474,1.3969852,0.016020646,-0.037509553,-0.018223245,0.0011256216,0.0,0.0,0,-0.300201
