@RELATION lunar_lander_filter2

@ATTRIBUTE angle         NUMERIC
@ATTRIBUTE angular_vel   NUMERIC
@ATTRIBUTE left_leg      {0, 1}
@ATTRIBUTE right_leg     {0, 1}
@ATTRIBUTE action        {nothing, left_engine, main_engine, right_engine}

@DATA
0.8233,0.2598,0,0,right_engine
0.8336,0.2064,0,0,right_engine
0.8439,0.2064,0,0,nothing
0.8543,0.2064,0,0,nothing
0.8646,0.2064,0,0,nothing
0.8749,0.2064,0,0,nothing
0.8852,0.2064,0,0,nothing
0.8955,0.2064,0,0,nothing
0.9059,0.2064,0,0,nothing
0.9134,0.1518,0,0,right_engine
0.9186,0.1022,0,0,right_engine
0.9218,0.0652,0,0,right_engine
0.9227,0.0181,0,0,right_engine
0.9218,-0.0175,0,0,right_engine
0.9184,-0.0679,0,0,right_engine
0.9131,-0.1079,0,0,right_engine
0.9077,-0.1079,0,0,nothing
0.9023,-0.1079,0,0,nothing
0.8962,-0.1210,0,0,main_engine
0.8905,-0.1151,0,0,main_engine
0.8842,-0.1249,0,0,main_engine
0.8781,-0.1227,0,0,main_engine
0.8724,-0.1141,0,0,main_engine
0.8671,-0.1064,0,0,main_engine
0.8616,-0.1100,0,0,main_engine
0.8559,-0.1140,0,0,main_engine
0.8508,-0.1013,0,0,main_engine
0.8464,-0.0882,0,0,main_engine
0.8426,-0.0750,0,0,main_engine
0.8397,-0.0594,0,0,main_engine
0.8374,-0.0450,0,0,main_engine
0.8352,-0.0442,0,0,main_engine
0.8329,-0.0464,0,0,main_engine
0.8310,-0.0369,0,0,main_engine
0.8292,-0.0369,0,0,nothing
0.8273,-0.0369,0,0,nothing
0.8255,-0.0369,0,0,nothing
0.8236,-0.0369,0,0,nothing
0.8216,-0.0412,0,0,main_engine
0.8194,-0.0445,0,0,main_engine
0.8177,-0.0328,0,0,main_engine
0.8168,-0.0187,0,0,main_engine
0.8158,-0.0187,0,0,nothing
0.8149,-0.0187,0,0,nothing
0.8140,-0.0187,0,0,nothing
0.8130,-0.0187,0,0,nothing
0.8121,-0.0187,0,0,nothing
0.8112,-0.0187,0,0,nothing
0.8102,-0.0187,0,0,nothing
0.8093,-0.0187,0,0,nothing
0.8083,-0.0187,0,0,nothing
0.8074,-0.0187,0,0,nothing
0.8065,-0.0187,0,0,nothing
0.8055,-0.0187,0,0,nothing
0.8046,-0.0187,0,0,nothing
0.8037,-0.0187,0,0,nothing
0.8029,-0.0144,0,0,main_engine
0.8017,-0.0241,0,0,main_engine
0.8005,-0.0241,0,0,nothing
0.7993,-0.0241,0,0,nothing
