x_position,y_position,x_velocity,y_velocity,angle,angular_velocity,left_leg_contact,right_leg_contact,euclidean_distance,total_velocity,fast_descent,polar_angle_to_pad,abs_y_velocity,angle_x_angular_vel,x_pos_x_x_vel,y_pos_x_y_vel,low_alt_high_speed,action,next_reward
0.5129941,0.6890834,0.6159158,-0.274689,0.015680032,0.6706103,0.0,0.0,0.859069,0.674393,0.000000,0.930851,0.274689,0.010515191,0.31596115,-0.18928362,0.000000,0,-3.424012
0.51949275,0.6828192,0.6159153,-0.27910322,0.049207915,0.67055833,0.0,0.0,0.857971,0.676203,0.000000,0.920415,0.27910322,0.032996777,0.3199635,-0.19057703,0.000000,0,-3.429430
0.52599096,0.67647284,0.61591953,-0.28351742,0.08273318,0.67050636,0.0,0.0,0.856903,0.678041,0.000000,0.909896,0.28351742,0.055473123,0.3239681,-0.19179183,0.000000,0,-3.434958
0.5324882,0.6700441,0.61592853,-0.2879315,0.11625585,0.67045444,0.0,0.0,0.855864,0.679906,0.000000,0.899292,0.2879315,0.07794425,0.32797468,-0.19292681,0.000000,0,-3.440644
0.5389843,0.66353303,0.6159423,-0.29234532,0.14977595,0.6704025,0.0,0.0,0.854857,0.681800,0.000000,0.888604,0.29234532,0.10041018,0.33198324,-0.19398077,0.000000,0,-3.446456
0.5454788,0.6569395,0.61596066,-0.2967587,0.18329346,0.6703507,0.0,0.0,0.853883,0.683720,0.000000,0.877831,0.2967587,0.12287089,0.3359935,-0.19495252,0.000000,0,-3.452432
0.55197155,0.6502636,0.61598366,-0.3011717,0.21680838,0.6702988,0.0,0.0,0.852945,0.685668,0.000000,0.866974,0.3011717,0.1453264,0.34000546,-0.19584098,0.000000,0,-3.458526
0.55846196,0.64350504,0.6160114,-0.30558407,0.2503207,0.67024696,0.0,0.0,0.852044,0.687642,0.000000,0.856034,0.30558407,0.16777669,0.34401894,-0.19664489,0.000000,0,-3.464781
0.5649501,0.6366636,0.6160437,-0.3099958,0.28383043,0.67019516,0.0,0.0,0.851181,0.689643,0.000000,0.845008,0.3099958,0.19022179,0.34803393,-0.19736305,0.000000,0,-3.471167
0.5714353,0.62973934,0.61608064,-0.31440675,0.31733757,0.6701433,0.0,0.0,0.850359,0.691670,0.000000,0.833899,0.31440675,0.21266165,0.35205022,-0.1979943,0.000000,0,-3.477704
0.5779173,0.6227321,0.6161222,-0.31881678,0.35084212,0.6700915,0.0,0.0,0.849579,0.693722,0.000000,0.822706,0.31881678,0.23509632,0.35606766,-0.19853744,0.000000,0,-3.484371
0.5843959,0.61564165,0.61616814,-0.3232259,0.38434407,0.6700398,0.0,0.0,0.848842,0.695800,0.000000,0.811430,0.3232259,0.2575258,0.3600861,-0.19899131,0.000000,0,-3.491181
0.5908707,0.60846776,0.61621857,-0.32763386,0.41784343,0.6699879,0.0,0.0,0.848152,0.697903,0.000000,0.800069,0.32763386,0.27995005,0.3641055,-0.19935463,0.000000,2,2.674426
0.5969039,0.60251325,0.57270825,-0.27406645,0.4511218,0.6655673,0.0,0.0,0.848125,0.634907,0.000000,0.790075,0.27406645,0.3002519,0.3418518,-0.16512866,0.000000,2,0.299899
0.6027107,0.59767914,0.549939,-0.2251695,0.4850931,0.67942595,0.0,0.0,0.848811,0.594251,0.000000,0.781207,0.2251695,0.32958484,0.33145413,-0.1345791,0.000000,2,-0.198869
0.608263,0.59367335,0.5247882,-0.18913826,0.51935256,0.68518966,0.0,0.0,0.849960,0.557831,0.000000,0.773260,0.18913826,0.35585502,0.31920925,-0.112286344,0.000000,2,-0.287232
0.6135162,0.5902323,0.4956202,-0.16465847,0.55342185,0.6813859,0.0,0.0,0.851338,0.522256,0.000000,0.766058,0.16465847,0.37709382,0.304071,-0.09718675,0.000000,2,3.846146
0.6181019,0.5878686,0.43009335,-0.11717844,0.58676684,0.66689956,0.0,0.0,0.853018,0.445770,0.000000,0.760334,0.11717844,0.39131454,0.2658415,-0.06888552,0.000000,2,0.590350
0.62227786,0.5859372,0.39029795,-0.09832106,0.61943626,0.6533891,0.0,0.0,0.854723,0.402492,0.000000,0.755329,0.09832106,0.4047329,0.24287377,-0.057609964,0.000000,2,1.569818
0.6260052,0.58527654,0.34546486,-0.042744007,0.65286446,0.6685637,0.0,0.0,0.856990,0.348099,0.000000,0.751786,0.042744007,0.4364815,0.21626279,-0.025017064,0.000000,2,0.104522
0.62935007,0.58536166,0.30777746,-0.010274606,0.6864651,0.6720127,0.0,0.0,0.859494,0.307949,0.000000,0.749201,0.010274606,0.46131325,0.19369976,-0.00601436,0.000000,2,2.646361
0.63201964,0.5862878,0.24140188,0.026776396,0.7194818,0.6603364,0.0,0.0,0.862080,0.242882,0.000000,0.747879,0.026776396,0.4751,0.15257072,0.015698673,0.000000,2,1.437093
0.6340071,0.5883249,0.17386287,0.075557075,0.75257975,0.6619588,0.0,0.0,0.864923,0.189571,0.000000,0.748043,0.075557075,0.49817678,0.1102303,0.04445211,0.000000,0,-3.425361
0.6359879,0.59027535,0.1739553,0.07116868,0.7856751,0.6619089,0.0,0.0,0.867701,0.187951,0.000000,0.748138,0.07116868,0.52004534,0.11063346,0.04200912,0.000000,0,-3.428031
0.637962,0.5921388,0.17405108,0.066782385,0.818768,0.661859,0.0,0.0,0.870416,0.186423,0.000000,0.748164,0.066782385,0.541909,0.11103797,0.039544445,0.000000,0,-3.430835
0.6399288,0.5939151,0.17415008,0.062398236,0.85185844,0.661809,0.0,0.0,0.873066,0.184991,0.000000,0.748122,0.062398236,0.5637676,0.11144365,0.037059255,0.000000,0,-3.433799
