x_position,y_position,x_velocity,y_velocity,angle,angular_velocity,left_leg,right_leg,action
-0.017939473,0.006738684,-0.16052498,-0.059202295,0.05106556,0.030546218,0.0,0.0,0
-0.019529248,0.00531064,-0.16052496,-0.063522495,0.05259287,0.030546233,0.0,0.0,0
-0.021173572,0.0041901562,-0.15530337,-0.0495218,0.043513466,-0.18165156,0.0,1.0,0
-0.022820855,0.0029938198,-0.15504137,-0.052931447,0.033895504,-0.19241038,0.0,1.0,0
-0.024471093,0.0017212367,-0.15478548,-0.056366976,0.02374723,-0.20300636,0.0,1.0,0
-0.02612419,0.00037219285,-0.15453568,-0.059827622,0.01307655,-0.2134463,0.0,1.0,0
-0.027780246,-0.0010536336,-0.15429196,-0.0633135,0.001891537,-0.22372642,0.0,1.0,0
-0.029286956,-0.0016060257,-0.14629997,-0.0245603,-0.0024062074,-0.08594309,1.0,1.0,0
-0.030637931,-0.0012871289,-0.13759215,0.0141659,6.250681e-05,0.049383525,1.0,1.0,0
-0.03199625,-0.0010605002,-0.13761166,0.010067855,0.0018209367,0.035153914,1.0,1.0,0
-0.03335762,-0.0009096885,-0.1373364,0.0066972272,0.0029925562,0.023420272,1.0,1.0,0
-0.03472223,-0.00083462236,-0.13706027,0.0033303194,0.0035758517,0.011655888,1.0,1.0,0
-0.036089897,-0.0008345509,-0.13677725,-2.6237475e-07,0.0035762608,1.2126262e-07,1.0,1.0,0
-0.037448503,-0.0008350515,-0.13586617,-2.4073697e-05,0.003577172,1.0973607e-05,1.0,1.0,0
-0.038797952,-0.0008350515,-0.13494487,-3.2874593e-07,0.0035774522,1.5111546e-07,1.0,1.0,0
-0.040138245,-0.0008350515,-0.13402809,1.6069725e-07,0.0035776864,-7.655571e-08,1.0,1.0,0
-0.041469384,-0.0008350515,-0.13311157,7.0432318e-09,0.0035778824,4.696047e-10,1.0,1.0,0
-0.042791367,-0.0008350515,-0.13219516,-6.5604175e-09,0.0035780456,5.256498e-10,1.0,1.0,0
-0.044104196,-0.0008350515,-0.13127874,-6.6607067e-09,0.0035781846,-2.5175076e-10,1.0,1.0,0
-0.045407772,-0.0008350515,-0.13036233,-4.403609e-09,0.0035782899,-3.7267243e-09,1.0,1.0,0
-0.046702195,-0.0008350515,-0.12944593,-2.8405691e-09,0.0035783942,-5.0228186e-09,1.0,1.0,0
-0.04798746,-0.0008350515,-0.12852952,-2.321776e-09,0.0035784596,-5.354019e-09,1.0,1.0,0
-0.049263574,-0.0008350515,-0.1276131,-1.8158899e-09,0.0035785302,-6.4507275e-09,1.0,1.0,0
-0.05053053,-0.0008350515,-0.12669669,-1.8071514e-09,0.003578577,-5.983501e-09,1.0,1.0,0
-0.05178833,-0.0008350515,-0.12578028,-1.8577904e-09,0.0035786317,-5.7469736e-09,1.0,1.0,0
-0.053036977,-0.0008350515,-0.12486388,-1.6022608e-09,0.0035786626,-5.8911818e-09,1.0,1.0,0
-0.054276466,-0.0008350515,-0.123947464,-1.4386594e-09,0.0035786922,-6.8075403e-09,1.0,1.0,3
-0.055413723,-0.0008350515,-0.11372743,2.3266972e-07,0.0035787085,-1.0686752e-07,1.0,1.0,3
-0.056468297,-0.0008350515,-0.105461344,4.1066773e-08,0.0035787222,-2.0271658e-08,1.0,1.0,3
-0.057395745,-0.0008351946,-0.09274383,-4.8980614e-06,0.0035788447,2.2225656e-06,1.0,1.0,0
-0.058314037,-0.00083512306,-0.09182535,4.5580186e-06,0.0035787574,-2.0728953e-06,1.0,1.0,0
-0.059223175,-0.00083512306,-0.090909764,9.625662e-08,0.0035787756,-4.5184724e-08,1.0,1.0,0
