# a0	a1	a2	a3
     -0.9151	      9.6803	      0.0000	      0.0000
     -6.3124	     16.1161	    -21.9113	     -6.6938
     12.4024	     14.8577	    -23.3432	     -0.1606
    -28.0017	    -24.5183	    -40.8928	    -27.4092
     -3.0717	     -3.9308	     -3.4130	     -1.4720
     -2.9515	     -2.9221	     -2.6855	     -2.8570
     -0.9171	     -0.6188	      0.0000	      0.0000
      0.2236	      0.2814	      0.0000	      0.0000
     -0.2726	     -0.9218	     -1.3338	      1.3116
    -16.3111	    -16.8471	    -15.7865	    -26.2681
     -5.4173	     -7.3901	     -6.9129	     -6.2864
     -2.1847	     -3.3705	     -4.4656	     -3.9730
     -9.8566	     -9.7766	    -12.4607	    -10.8451
     -2.6895	      0.7144	     -4.2953	     -1.7470
    -41.9655	    -34.6810	    -40.2582	    -41.0694
    -14.0018	    -13.2902	    -14.5886	    -12.0120
     -6.7994	     -3.6709	     -5.5731	     -5.9788
    -16.9406	    -13.1934	    -16.9495	    -16.3990
     -3.3652	     -3.4169	     -3.3904	     -3.6155
    -52.4780	    -52.7111	    -56.1758	    -59.1664
    -22.1158	    -10.6154	    -28.6150	    -16.7917
     -9.2063	     -7.5713	    -11.0700	    -10.5090
     -8.8986	     -6.0209	     -9.1680	     -8.6414
     -2.4157	     -0.8998	     -2.9927	     -2.5074
    -95.5396	    -60.3634	   -113.7789	    -92.5872
    -59.4907	    -29.3605	    -71.7449	    -61.8379
    -62.1934	    -31.2374	    -79.5254	    -69.9818
   -106.9907	    -50.8099	   -110.8575	    -93.5805
    -55.4533	    -59.2188	    -70.7551	    -67.7507
    -15.4290	     -4.5142	    -11.0279	     -8.2172
     -3.2375	     12.5634	     -9.4054	     -4.9921
     -1.2079	     33.3656	     -3.4513	     -1.2360
     -2.6171	     16.4333	     -1.3279	     -2.3684
     -7.3253	      3.6534	    -10.4974	     -9.3744
    -24.7755	    -16.6419	    -28.6672	    -25.5884
     -5.7484	      0.9834	    -17.1971	     -7.7339
     -2.6435	      6.9631	     -5.7214	     -4.0997
     -4.7061	      3.8297	    -11.5329	     -7.4570
    -22.0520	    -21.4179	    -22.5267	    -23.0534
    -29.7061	    -15.7760	    -37.0393	    -25.8807
     -8.2512	     -8.3304	    -15.3474	    -11.8310
     -6.9253	      7.3206	    -13.7061	     -5.0014
     -7.6440	      0.2853	    -15.6217	     -3.3877
    -18.0500	    -13.4071	    -25.5032	    -20.0206
    -34.6656	    -40.3581	    -42.3124	    -39.9448
    -17.8598	     -4.2982	    -32.2434	    -25.2226
     -6.5860	      2.1412	    -20.4811	     -3.7356
    -17.1049	      1.3310	    -29.2749	    -24.0567
    -33.9479	    -13.1580	    -37.8487	    -34.6006
    -56.3824	    -36.7314	    -81.8466	    -66.2961
    -46.1801	    -15.7609	    -51.0781	    -59.0575
    -39.0761	    -17.1482	    -65.6165	    -60.7416
    -64.1230	     -8.1322	    -81.9377	    -47.1259
    -48.7060	    -17.5646	    -74.1064	    -47.9817
     -1.2936	     -0.5810	      0.0000	     -1.9707
      6.3013	     -1.2915	     -1.2916	     -1.8073
     -1.2700	     -0.4140	     -2.0424	     -1.9473
     -2.9873	      5.5431	     -3.0146	     -1.8451
     -1.4018	      3.5465	     -3.8475	     -3.0537
     -4.3023	      1.3747	     -4.1860	     -4.0972
     -4.3143	      8.3720	     -3.6957	     -5.7111
      0.0000	     12.9692	      0.5424	      0.0000
     -7.0193	      9.6107	     -8.6607	     -7.2304
    -15.9211	    -10.9076	    -15.2473	    -15.1194
    -12.5648	    -11.8734	    -14.8566	    -14.1118
      0.7150	     11.2009	     -1.6317	     -2.6027
     -1.1519	     11.5534	      0.0000	      0.0000
     -1.7412	      6.0673	     -5.2048	     -6.4877
    -24.1535	    -46.9836	    -43.4733	    -53.9421
    -11.2617	    -10.7270	    -13.3010	    -11.7557
     -5.6336	      2.4546	     -5.9409	     -4.7399
     -4.8939	      4.0271	     -4.1545	     -2.3635
    -13.2832	      0.2986	    -26.1320	    -21.9838
    -36.2082	    -35.1667	    -39.1757	    -39.3195
    -54.9135	    -40.7601	    -58.8241	    -54.3910
    -52.9044	     -7.6659	    -58.9699	    -68.8448
    -69.1302	    -14.2766	    -76.6600	    -68.1682
    -25.9403	    -20.5501	    -39.2290	    -29.0986
    -60.3748	    -51.4138	   -110.4392	    -71.5759
     -9.2881	    -15.6661	     -7.2338	    -14.3667
     -0.0719	    -10.6114	      2.6738	      0.0000
    -10.0494	    -10.0509	    -10.4229	     -9.8824
     -7.1199	    -19.7245	    -10.7099	    -12.0025
      0.0000	      0.0000	      0.0000	      0.0000
      5.2806	      0.8744	      0.0000	      0.0000
      1.9767	      8.7355	     -1.2022	     37.4531
     30.1144	      6.2906	      0.0000	      0.0000
     17.0965	      1.0273	      0.0197	      0.7424
      2.0608	      0.0000	      0.0000	      0.0000
     -0.7598	      9.1485	      3.3703	     -6.6514
     38.0373	      0.3930	      2.1475	      0.0000
     18.7175	      5.4217	      2.3673	      5.3706
     28.5773	      2.0946	      0.0000	      6.6885
     20.4619	      0.3146	     -1.4800	      0.0000
     15.6745	      0.4679	     -1.6254	      4.6556
      0.0000	      0.0000	      3.2114	     20.3293
     12.2257	      0.0000	      0.0000	      2.2834
      3.7267	      0.0000	      0.1963	     11.5460
      0.0000	      0.0000	      0.0000	      0.0000
      2.9003	     -5.0090	     -0.3367	     -1.8912
     17.5861	     29.6955	     12.4176	     52.6708
     16.6766	      1.4953	      0.0000	     46.1687
      1.0739	      1.3305	     -1.7978	      7.0814
      0.0000	      0.0000	     25.8827	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	     -7.0181	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
    -10.0033	     -9.3573	      4.1332	      0.0000
    -10.0068	     -0.2019	      0.1795	      0.0000
     -7.8212	      0.0000	      0.0000	      0.0000
     -4.0711	      0.0000	     17.7840	      0.0000
      2.6139	      0.0000	      3.3538	      0.0000
     11.1293	      0.0000	      0.0000	      2.0393
      1.7236	      0.0000	     11.0431	      0.0000
      1.8757	      1.3867	      0.0000	      7.1135
     31.2536	      0.7752	      0.0000	      0.0000
      0.0000	      0.0000	      9.0964	      0.0000
     12.5553	      0.0000	      0.0000	      0.0000
      5.8449	      0.3806	      0.0000	      0.0000
      6.9600	      0.0000	      0.0000	      0.0000
      6.9779	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      3.6977	      0.0000	      0.0000	      0.0000
      0.0000	      3.9389	      0.0000	      0.0000
     37.4334	     13.8322	     13.3078	     18.3400
     25.4211	      0.0000	     -0.2218	      4.3217
      0.0000	      0.0000	      9.1065	      3.7494
     11.9357	     10.1729	     -0.3853	     51.2858
     23.0782	     21.1122	     12.8123	     41.7442
      0.0000	    -10.4735	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
    -10.0812	      0.0000	      0.0000	      0.0000
     -9.9547	      1.3421	      0.0000	      0.0000
    -10.0578	      0.0000	     -0.2211	    -10.0685
      0.0000	      0.0000	      0.0000	      0.0000
      1.0577	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      7.9409	      0.0000	      0.0000	      0.0000
     -0.5991	      5.5541	      0.0000	     -7.9259
      0.0000	      0.0000	      0.0000	      0.0000
      2.8427	      0.0000	      0.0000	      0.0000
      4.0554	      0.0000	      0.0000	      0.0000
     25.8662	      3.2831	      3.0870	      0.0000
     15.0919	      1.8392	      1.8501	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
     15.8470	      0.0000	      0.0000	      0.0000
     31.8969	      0.0000	      3.9594	      0.0000
     -6.9429	      0.0000	      1.2865	      9.3951
