# a0	a1	a2	a3
     -3.1103	     20.1477	     -9.3981	     -5.5080
     -3.2055	     -0.1282	     -6.2175	     -6.1993
     -0.9989	     16.7460	     -2.9421	      0.0000
     -7.3214	     18.3240	      0.2508	      5.4350
     -0.3346	     19.6357	     -4.5898	     -3.5667
      1.1613	     16.9771	     -0.8628	     -2.6763
    -24.3719	    -23.3641	    -24.0601	    -20.1430
     15.5738	     -1.0912	     -3.3857	    -15.2341
     -3.9167	     24.7976	      0.2358	      3.5201
    -15.5680	     23.0970	    -18.2934	    -12.0326
      2.3132	     16.7963	     -4.7088	     -0.8076
    -20.3527	     -4.0485	    -22.3353	    -17.6896
    -24.1858	      5.8053	    -26.5678	    -24.8632
      3.3033	     14.4430	    -23.5874	     -8.7956
     -9.9673	     23.4850	     -7.9473	    -10.6121
      8.3548	     13.9369	    -18.9381	      9.6255
    -30.2925	    -26.4777	    -28.3071	    -30.0384
    -57.3251	    -38.7566	    -56.3256	    -60.1772
    -27.8785	    -17.2226	    -55.6583	    -33.7772
    -37.3047	    -11.3444	    -46.5141	    -23.8148
    -22.4991	    -16.7854	    -28.6920	    -20.4572
    -58.4824	    -62.4011	    -61.8270	    -77.4031
    -17.2342	    -19.8935	    -17.9239	    -15.8009
    -19.4445	     -1.2675	      1.3623	      0.0000
      1.2967	      0.0000	      0.0000	      0.0000
    -14.1233	     -1.3067	      0.0000	      0.0000
    -18.8224	      0.5754	      0.0000	      0.0000
     -9.3825	     15.8093	     -3.6028	    -13.0748
      1.3206	      2.4111	      4.9091	     47.2518
     41.4508	      4.9857	     -0.1213	      0.0000
     42.4743	      0.0000	     11.7633	      0.0000
     50.8050	      0.0000	      0.0000	      0.0000
     -9.3052	    -11.4884	     -4.6445	     25.3517
     35.5685	      0.0000	      0.0000	      9.0156
     39.6114	      0.0000	      2.5623	      0.0000
     22.3782	     19.9661	      4.5853	     71.2203
      8.1954	      2.5634	      0.0000	     66.6152
    -14.4101	      3.5809	     -1.7844	      0.0000
     38.7433	      0.0000	     11.5124	      9.1439
      0.0000	      0.0000	      0.0000	      0.0000
     74.7541	      0.0000	      0.0000	      0.0000
     86.4698	      6.2074	      0.0000	      0.0000
     56.1377	     -0.6824	     -2.7634	      3.8826
     32.5108	      5.3865	      1.7048	      0.0000
      5.2261	      0.0000	      5.4107	     30.3792
    120.0223	     66.5674	     13.8617	    190.6225
     20.8240	     17.0999	      8.4579	    134.9413
    -20.0000	      6.7641	      0.0000	      0.0000
    -14.2633	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
     21.2168	      5.0406	      0.0000	      0.0000
      2.6381	      0.7174	      0.0000	      0.0000
      2.5588	      0.0000	     10.9071	      0.0000
     14.4888	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
     32.5840	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	     18.7674	      0.0000
     20.9726	      0.0000	      0.0000	      0.0000
     46.0894	      3.4628	      0.0000	      0.0000
      0.0000	      1.8438	      0.0000	     29.7189
     25.5210	      0.0000	      0.0000	      0.0000
     15.6033	      0.0000	      2.8537	      0.0000
     32.4108	      0.0000	      0.0000	      0.0000
     46.8465	      0.0000	      9.3132	      0.0000
     32.8563	      0.0000	      0.0000	      0.0000
      3.4217	      2.4995	      0.0000	      0.0000
      0.0000	      2.6672	     40.4970	      0.0000
      0.0000	      0.0000	     44.9665	      0.0000
     59.1723	     13.0000	      6.5601	     11.2330
     24.6475	      0.0000	      0.0000	      0.0000
     48.3512	     16.5113	     19.7195	     19.8298
     44.4169	     29.0941	     20.3348	     56.6228
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
    -19.4734	     -9.3664	     10.7936	      0.0000
    -27.8208	    -13.1855	    -21.6614	    -17.8301
      0.0000	      0.0000	      0.0000	      0.0000
     18.1553	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
     14.8606	      0.0000	      0.0000	      0.0000
    -17.5445	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
     13.5388	      0.0000	      0.0000	      0.0000
      5.5292	      8.3121	      0.0000	      0.0000
      4.2013	     -2.4274	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      8.1111	      0.0000	      0.0000	      0.0000
      8.2426	     15.7519	      0.0000	      0.0000
      6.6957	      4.3735	      4.0668	      6.0192
      0.0000	     15.1906	      0.0000	     39.1805
